Column1;cond;instr;confidence
R_UGCFFoHLlWzsTId;4;To answer random;1
R_xzKlF2RzP89ztOp;4;to answer the last half of the questions without reading and at random ;1
R_2cCaNrrUgOn1cOC;4;;2
R_2pRGjkh1ezf7db1;4;To fly through the rest of the survey making quick judgements;3
R_2s732u5SdUyyUou;4;;2
R_31uBoQfqun5S9sY;4;To complete the rest of the study as quickly as I could that there would me no more trick questions just answer as honestly as possible;3
R_1CCtlyeEQQhegpY;4;The instructions stated to answer quickly without really thinking about it.;3
R_0SoBBXn61LpBj9v;4;answer questions with no effort or thinking;2
R_1go9VBJgVfAgHpH;4;to click with no effort at all ;1
R_2Bxn8rOa9SKdNFx;4;answer randomly you dont even have to read the questions;1
R_3iyhONENytf7wwF;4;just answer quickly  you dont even have to to read the statement;1
R_3P6I8VsfiE8tQIe;4;To go through the next set of questions without even thinking about them, to answer quickly.;3
R_vi6PBz5Zt1We5uV;4;To answer randomly to the questions ;1
R_3PgUhs2xHchgumY;4;to not think about my responses and just make them quickly;3
R_2DLzGIGfyfegr9J;4;Answer without thinking ;3
R_1OiTQOQVx0zFGdQ;4;not to think too much when answering the questions.;3
R_3nplkIuFgunJYaY;4;don't think about the next set of questions, don't even read them;1
R_26g9fAsZwZag4X6;4;;2
R_XiDTGcxtBavfY65;4;just to answer the questions honestly;3
R_1NCxFhj8Ltb7Dmy;4;to just answer without thinking;2
R_3J2W6buSsHA9yrp;4;to ignore the questions and answer randomly;1
R_PMM8jvcUbmYiPGV;4;I was instructed to make more quicker responses.;3
R_2f3sJvoZ7qP5v99;4;To answer without effort and do it quickly;3
R_WlKupVVH3Efz3y1;4;To answer without thought or without reading the questions.;1
R_uvL0fFn6oUo70gV;4;To answer randomly and fast, I think.;1
R_22E6KhmwtBLuWpB;4;;2
R_3qgPlaCgKOREUvp;4;to not think about the response and just answer as you felt;3
R_2dWQSC8smgUGelE;4;to just pick random answers without even reading at close to the ending;3
R_3kte4i7vW7kqhum;4;answer the questions quickly, don't think about the question too long;3
R_4PeVhkvh3zPgWc1;4;;2
R_2PqdF6ceMJIcwhj;4;To just randomly answer;1
R_3iydnzYryctlieR;4;to answer quickly without thinking ;3
R_1H1auFTOrt75zYm;4;Just answer randomly, you do not even need to read, just answer quickly and randomly;1
R_2Y2EIoCV0gpAIpC;4;to go as quickly as possible and don't even read/answer the questions;1
R_3qqjngVxtsHEXHE;4;to answer without much care, reading not necessary. ;1
R_12rtObiSgsmBSkW;4;don't think about it;3
R_dgaBuNGUUXqBqbT;4;To just answer as quickly as I could and to not read the questions;1
R_vxzryAyT2syMFeV;4;To answer with minimal effort;3
R_2q8GrYw3u7IJLvu;4;to choose the quickest answer ;1
R_4IW51lnzbJEpGKZ;4;To just answer randomly with no thought;1
R_1gu9BXuqwz6Ainh;4;responding the questions without thinking;3
R_1EYuirhrHywsdLC;4;don't pay attention to the questions;1
R_1KwEpWOR3yYwhrR;4;To answer as quickly as possible, without thinking.;2
R_2zch3Gs6MY1Rt44;4;Answer quickly and don't worry about accuracy too much. We were told we didn't even have to read the questions. ;3
R_1oEWDtsQqHl3YAC;4;To answer the remaining questions randomly, without reading the question;1
R_2fxkpbvNrIQ3eRM;4;to not think about your answer and answer quickly;3
R_3gLTxlxMiAX0dGL;4;without thinking to hard respond to the following. A gut level response i believe;3
R_2WCMQw5ciRtbEDv;4;To stop paying attention and answer randomly;1
R_WAuMfmTCYDOFx3H;4;Dont think about the answers and respond quickly.;3
R_1OqKGDNZ7o8azvk;4;to answer without thinking. ;3
R_3PH8mDej4n62ayR;4;To answer quickly and randomly without reading the questions.;1
R_1oCilK4YR2ZYqKT;4;to answer remaining questions without thinking about them, ;3
R_3IcoXdVcox6gJW1;4;answer randomly;1
R_1jCwY3DCBNjSEH0;4;Answer effortlessly without thought. ;3
R_3fDC7ueIEXbKXza;4;To answer the questions randomly.;1
R_3EHgthEhkhqI6Lk;4;Don't read the questions and just do them without thought.;3
R_Oj1ouwJILo8RWIV;4;answer quickly off the top of my head;3
R_sSEBccbCdIZu0QF;4;TO RANDOMLY ANSWER QUESTIONS AND DON'T HAVE TO PAY ATTENTION;1
R_2YPMDggyS8kflny;4;Don't put thought into the answer, just pick;3
R_3HwaOyrn1ES1e08;4;;2
R_2qBIjJSDTnc6oEu;4;Don't even read the questions, just answer with no thought as fast as possible.;1
R_2EaPYH8hbE3TFve;4;;2
R_WeCxY3QgvY2qKBz;4;to answer the questions without reading the questions;1
R_2wvknKdQbjoZAbl;4;To click on answers randomly so as to get through quickly, and to even ignore the questions if I wished;1
R_3PYvYsJsZtjwist;4;to answer without thinking;3
R_3NWWGTBu0AbHPpG;4;;2
R_PGN1EEEykVsrBBf;4;ANSWER QUICKLY WITHOUT READING ;1
R_3I0ijYpCYdVimlL;4;;2
R_3g6pzZDAavVtNpc;4;Go through the next questions without effort;2
R_W8LewtTJ91nFEZP;4;To answer quickly without thought.;2
R_1C0UX1M3FfpXq8t;4;unsure;3
R_1GZeK2Qk54mHEtI;4;to select the answers as fast as I could. I didnt even have to take time to read them. Just answer them;1
R_2q4ch4gXt18dHiR;4;answer in the middle;1
R_2flzbxFaR3BH2tD;4;;2
R_31LdA4TVTKKDHCm;4;to answer quickly without giving too much thought;3
R_bl47o99rG1HHcB3;4;The instructions were to answer as fast as I can without thought and to not read the question;1
R_31ioxVfFqAOF6Mm;4;I don't know. It seems that the parts of the survey changed. I don't remember the specifics of the instructions at this time.;3
R_0cY2DoosWH2eL3r;4;answer as quickly as possible;2
R_3HvHsRVZT54FBMF;4;Do not put any effort into answering, you don't even have to read the questions.;1
R_5ptNVHTp2Mc98Ah;4;"""Please answer the following as quickly as possible. You do not even have to read the questions.""";1
R_2VCQ8XnMrzcnAgJ;4;To answer the second half of the questions with no effort at all;1
R_3iJqeo5RQN716UO;4;"It said something in the vein of, ""You should answer the next bath of questions very quickly. Infact you should not even read them."" Or something like that. ";1
R_3g7p9JlxMUuhx7o;4;just to go fast, don't even read the questions;1
R_exv6IZcp5BpucH7;4;answer effortlessly;3
R_3iJevnKYbyDaPEz;4;answer randomly;1
R_3fcyt2TwEmYttqk;4;Don't think about the answers and to mark what immediately comes to mind.;3
R_1hA3nreQ2wSOBBr;4;To not give much thought to the questions;3
R_3j1YZoLjd2z1C9A;4;To go through as fast as you can, you don't even need to read the questions to mark your answers.;1
R_cZ5gj62AJ3olg1H;4;Don't read the instructions. Just answer whatever. ;1
R_OD23zDE7AV6Dv5D;4;Go as quickly as possible without thought;3
R_9SREGjxfhCHBPW1;4;;2
R_2b2bvXcYE4nPmEh;4;;2
R_2QYcqCD1k4KG5Ro;4;to answer without really thinking;3
R_3FQCRcnLkFmegIf;4;;2
R_2EhqJy02zRG6YLa;4;Don't even read the questions and answer randomly.;1
R_ePaNJMiO2vKqGcx;4;To answer the questions as fast as possible with less thought than the first part of the study.;3
R_1es01m73ROR4iDf;4;without thinking answering;3
R_WBa6llNiopTezNn;4;TO not think and choose;3
R_1f2ENW4WxiM2gQJ;4;;2
R_1myJxo8bONYYIJY;4;Using NO EFFORT how do you these things ;2
R_2ZQ68kAfFI54KvO;4;to answer questions without thought, to answer quickly as possible;3
R_3k5kcxXTZSF0iRd;4;To answer the questions quickly.;3
R_6eQYljpObwzaNcl;4;Answer with no effort for the rest of the study.;2
R_2AR5X0METUeskOb;4;"To just answer in any random way ""WITH NO EFFORT AT ALL""";1
R_1E0XfA8CXB6me2T;4;to answer as quickly as possible without thought;3
R_1K3Ivbfn1zmNyGp;4;To go with my first instinct, I believe.;3
R_1mDjq3UTnAciSb7;4;To answer the rest of the questions randomly.;1
R_DAmHe4n2UnV08Y9;4;I was instructed to answer questions quickly, without thinking about it too much/;3
R_3HI34McmOsZyZ2N;4;;2
R_3nhYbZjmUOWGAbu;4;;2
R_3Pcqru2QOiYTe9t;4;Put NO EFFORT into answering the following questions. You don't even have to read them, just answer randomly.;1
R_3J5fm2cvZpN1IW4;4;To use little effort and not think about how to respond;3
R_21Eq3ISf6h61jgd;4;To not pay attention;1
R_2QujyETIeHcG29u;4;to answer without reading the questions, just to answer as fast as I could;1
R_z728bBa49y5bQ6B;4;answer randomly;1
R_BYciHTvZJXDzb69;4;Those instructions asked me to not use any effort in answering the remaining questions, i.e. to answer randomly without reading the questions.;1
R_1kTxOszzxnFmMtc;4;To answer randomly, which is why I just answered that I selected randomly in the last questions. I was told I didn't even need to read the questions and to answer the questions with no effort. ;1
R_3synSQOqfdVhuVY;4;Respond without thinking. ;3
R_A1aNlVMbJN6zoBz;4;To answer as quickly as possible and not even read the questions;1
R_3ksE0sqcD07RFhn;4;to not think too much and quickly repond to the questions, there are no right or wrong answers,;3
R_1LXVbyXx1MUWxOe;4;Put no effort into my responses;2
R_21ywsbOOxnoXhgQ;4;;2
R_O8brPDUietbWJot;4;;2
R_AEQg6Jqx6L2GIrT;4;Not to actually read what the data says and just choose quickly.;1
R_ZxfMPooOne7wqat;4;answer without thinking;3
R_3nV5DaAqqHlrTkR;4;;2
R_1OCAEUfjAddbHVX;4;To answer effortlessly, even without reading the statements.;1
R_3KGylLXay1M0NSE;4;To answer questions randomly in the middle of the survey;1
R_1hHbYgZf5iQv06b;4;To fill the rest of the questions out with ease, to not even read the questions just complete it with as much ease as possible.;1
R_2dEF4ILR9VNsckt;4;It said to answer randomly and that I did not even have to read the questions.;1
R_2COn2oRZyhgSAve;4;To go through the next questions effortlessly ;3
R_1OBmol42CaCAvG6;4;to answer fast as possible ;2
R_2S8Zs2A79CXHRXA;4;I ansered the first hal accurately but the second half I was instructed to answer quickly and randomly and that there was no nead to read the questions. ;1
R_2e2TrUaazeEXzRR;4;To answer without thinking about the questions/reading.;1
R_10Ugl8ZsKQ9C3F6;4;The instructions were that I was to respond to the rest of the survey with no effort at all, and that I didn't even need to read the questions, just go through the survey quickly.;1
R_2A1fHZI6DULVoKt;4;Answer questions as quickly as I could.;2
R_3nNNnAq11yQPqiG;4;To think about the questions and then answer with your gut feelings, not taking too long on any one answer. ;3
R_3OiVdnVTm0QvCnM;4;I was told to answer the questions randomly.;1
R_DvKTf3pReJuE7u1;4;Answer quickly without thinking.;2
R_3nq7AEYe1H3Ldqe;4;I think it said answer randomly, but that made me nervous so I still tried to take it seriously in case that was a trick;3
R_Zn0mbe2d9E9jnhL;4;To answer the remaining questions with no effort at all.;1
R_2B5I73a2u65mwnn;4;answer randomly and not even bother reading;1
R_sLn40jTiJc6F8e5;4;To ignore the questions and answer as quickly as possible. ;1
R_3O1uO8FMulKJSES;4;To not pay attention and answer with our first instinct.  I simply could not do it. ;3
R_4NLbaXPpyhmdoOd;4;answer the second set of questions randomly or without thinking about them, it stated i didn't eve n have to read the question.;1
R_2aLZ9EAqok6s9VA;4;answer randomly without reading;1
R_12J8EzSobbqkXxT;4;to select what comes first to us as a response what comes first to us;3
R_0CyoDds4dTgOZDH;4;to answer quickly and not think too much about the question, go with first instinct;3
R_2OZSMlxtT2mzA3N;4;The instructions where to respond with gut without thinking. ;3
R_x57bLrOrhwSDrxf;4;answer the rest of the questions randomly and without reading;1
R_3J3IINeQyVnPAA9;4;to answer the questions without paying attention to what the questions were asking. ;1
R_2rjrK13G1nxghoX;4;To answer quickly without reading the questions;1
R_11Z3G5Ax9TisszA;4;no effort;2
